,attention1,attention2,bandTestErrorCount,count responses,lineTestErrorCount,response duration,total duration (mturk),usertoken
145,Postpone the interview ,Choose the Alternative store,0,30,2,13.466666666666667,21.716666666666665,ufBsgtDi
146,"If I found myself sick on the day of my interview, I would first call up the prospective employer and ask if I could reschedule due to illness. ",A potential course of action would be for me to leave cash at the register for the item and tax and then walk out.,0,30,0,8.383333333333333,58.31666666666667,XfbrtCbO
147,Call the interviewer and reschedule my internview,Leave money and take the item without being checked out.,2,30,0,7.583333333333333,41.6,uW1hTKdY
148,I will try to calm myself by yoga then i will fgo ,went to buying for online,4,30,3,6.05,57.983333333333334,IN87libS
149,i'll use some drugs to see me trough the interview ,i'll pick the goods and place the money where the cashier would find it ,3,30,3,8.966666666666667,51.2,9wrlrgQT
150,TAKE A TABLET AND LEAVE ,PLACE A AMOUNT IN THE SHOP AND I LEAVE ,2,30,0,3.7333333333333334,17.183333333333334,E1ltHhlg
151,Use some medications and still head out.,"wait a couple of minutes, before heading to another store",0,30,1,26.266666666666666,59.71666666666667,wNOzwBV8
152,Take lots of over-the-counter medicine and drink hot tea.,Get ahold of someone working the floor.,1,30,2,6.333333333333333,56.53333333333333,UnDWA0Gx
153,Call the business I was interviewing and explain the situation and ask if I could reschedule. ,Call out for the cashier or someone to come check me out,0,30,0,8.133333333333333,24.9,mUWVV1om
154,I took pills and attend the interviwe,I wait and bought the things,7,30,1,7.15,59.38333333333333,FI4uLqoI
155,I will take medicine and try to attend the interview.,I will take some deep breath and cant get tensed then ask for a help from outsiders,3,30,2,8.383333333333333,21.883333333333333,ZdHB4ENS
156,I would call and ask if it was possible to schedule another interview in 2 days.,I could leave the right amount of cash at the register with a note of what I bought.,0,30,0,9.083333333333334,52.53333333333333,X5ZRTuXu
157,calm,keep faith in yourself,0,30,3,9.366666666666667,54.4,nM3fPbbZ
158,I would take a couple of aspirin or cold medicine.  I would wait to feel better then tough out the interview.,I would go to another store to get the item if one was close or try to find a manager if one was not.,0,30,2,12.066666666666666,23.133333333333333,ILkZFwS3
159,Take medicine to remedy it,"wait, or go to another store",0,30,1,4.766666666666667,8.983333333333333,C7JuFszZ
160,I would take some medicine and go on the interview,Yell to get her attention,0,30,1,10.383333333333333,47.516666666666666,5vIwcLnU
161,"I would go to a clinic to get tested for Covid-19, but finding that kits were not available, would go home to self-isolate.  I'd call the interviewer and explain that I am under self quarantine, but could do a video conference interview at their convenience.","I would leave the amount on the counter with a note, or I would holler out ""Hello"" until someone came.",1,30,0,9.366666666666667,15.833333333333334,4bxrWA0q
162,Go to the interview sick.,Ask for the cashier.,0,30,1,7.383333333333334,13.683333333333334,MLId7pow
163,"I could take a fever reducer(dayquil, etc) and drink enough coffee to hopefully stimulate myself to make it through.",Leave immediately and find another store.,0,30,0,6.633333333333334,52.53333333333333,HKhosEJP
164,,,2,30,1,6.2,55.25,qSy4nHUD
165,I would take some vitamin C and drink hot tea and head into the interview.,"Ring a bell, call out for help, inevitably give up and leave to buy the item elsewhere.",0,30,0,6.166666666666667,11.366666666666667,9qV8Po5e
166,i lose out on an opportunity,i dont get my items,2,30,0,3.566666666666667,33.11666666666667,gz4Gpwxa
167,I would take a lot of flu medication and go anyway.,Look for another store and leave item.,0,30,0,5.583333333333333,10.6,JlYmc9uv
168,i will take tablets and try to be very cool and normal,i will try for near by shop,4,30,2,7.666666666666667,14.666666666666666,AYrVj3Qr
169,Try taking medication to reduce my fever temporarily so that I can get through the job interview.,"I will have to wait, or try looking for the manager to pay someone.",0,30,0,11.316666666666666,22.7,i54JNwyf
170,some one,really,6,30,6,8.316666666666666,59.56666666666667,qbZJlTja
171,Take my temperature and take some medications ,Leave the item.,0,30,4,13.716666666666667,34.016666666666666,VKuqNveO
172,I drink juice and take aspirin and gut out the interview.,I would call out until I found the cashier.,0,30,2,12.583333333333334,21.3,N50cmzh5
173,I would down orange juice and medications to make me feel better quickly,I would ask people around me for money ,1,30,1,6.183333333333334,8.766666666666667,hxRe3YWh
174,"Take calming, deep breaths to calm your nerves.",Walk around store looking for employee to report this to.,0,30,0,5.183333333333334,9.933333333333334,X53ngetk
175,Take some medicine,The fever and chills go away,1,30,4,7.583333333333333,13.35,E4fsaAML
176,Take medication for symptomatic relief,Leave the designated amount on the counter,0,30,0,7.766666666666667,16.133333333333333,wwguUNk7
177,Ask for a rescheduled interview,Wait for help,2,30,0,3.2333333333333334,5.966666666666667,lzocHIiM
178,Call in and tell my worker,Leave the item,0,30,0,2.5833333333333335,58.733333333333334,nI2ETlF8
179,Call and ask to reschedule.,"Ring the bell at the cash register or look around for someone who looks ""official"" and ask him/her if he/she is the cashier.",0,30,1,9.616666666666667,18.6,hUwXkS9q
180,Call my interviewer for a reschedule and take medicine,Ask if anyone is there,0,30,0,5.75,10.25,IfUGKjPy
181,I WOULD RELAX AND PRAYER.,I WOULD BE VERY UPSET.,3,30,3,5.833333333333333,9.983333333333333,PtHTzDOk
182,in upcoming morning i am to go job tiredly and not working my activity,in i am go to shop very crowed the Cashier  was confused,3,30,3,8.75,15.116666666666667,7WLMPNAQ
183,medicate myself and go to the interview,call out to see if they respond,0,30,1,9.416666666666666,18.083333333333332,pXKKrY4a
184,Call to reschedule.,I can wait for a few minutes most times.,0,30,0,9.8,18.65,X55EJ26h
185,I would call the company and let them know so that I don't infect other people. I would try to reschedule the interview. ,I would walk around the store for a bit and if I couldn't find anyone I would leave and go somewhere else.,1,30,0,6.283333333333333,15.4,4IdDTplo
186,I would call the company to reschedule the interview. ,I would attempt to look for the cashier so that I can purchase my items. ,3,30,0,8.416666666666666,16.833333333333332,isp2RIed
187,Call to reschedule the interview.,Leave the item and pick it up later,1,30,0,4.85,7.95,HMrFLTYZ
188,Take some over the counter medicine and go infect my future coworkers.,Wait for the cashier or go to another store.,1,30,0,14.7,22.616666666666667,9oPCtODQ
189,get some bed rest and drink plenty of fluids,leave money on counter,4,30,2,3.933333333333333,12.416666666666666,bgQNTxs0
190,You could call and ask to reschedule as you are ill and don't want to get the interviewer sick.,You could look around for an employee.,0,30,0,7.65,17.266666666666666,xlYUSARn
191,Take some medicine,Leave the money on the counter or call out for attention,2,30,1,2.566666666666667,9.483333333333333,LzrRc1uO
192,Contact them to reschedule.,Ask someone nearby for help,0,30,0,6.533333333333333,13.616666666666667,vvh3jyTG
193,Try and contact the company immediately let them know of the situation and try to reschedule when I recover.,Leave cash covering the amount of the item and an extra of the item on the register or a note of handy.,0,30,0,8.483333333333333,16.183333333333334,08zKHo8E
194,"Consider if rescheduling is an option, otherwise, make plans to arrive responsibly and to prevent getting anyone else sick if possible.","Take action to find a cashier promptly so that you can pay and leave. Or, don't get the item. Theft is NOT an option.",0,30,0,5.15,21.8,LFUXivW2
195,Load up on medication and go to the job interview anyways.,Ring a bell or call out. Then wait.,0,30,0,6.633333333333334,10.133333333333333,h49Eplj6
196,I have good working my job to earn best money.,I would like to apple juice.,0,30,3,7.866666666666666,55.583333333333336,jKtvIbGz
197,Call the interviewer and try to reschedule.,Leave a little more than enough money for your item on the counter and leave.,0,30,3,10.083333333333334,18.866666666666667,PPevttF7
198,call the company and cancel the interview,leave,0,30,3,7.833333333333333,58.8,ijkssXGV
199,Would call up and seek a possibility of postponing the interview,Will quickly look around for someone who can help by paging a cashier,0,30,0,9.633333333333333,21.85,STfgMcs2
200,"You could call the interviewer, explain the situation and reschedule. ",You could wait for him to come back. ,0,30,0,11.4,19.566666666666666,XNxr6n4F
201,Call and reschedule your interview.,Go looking for an employee.,0,30,0,7.983333333333333,35.766666666666666,cWiF5BVX
202,Drink lots of fluids and go for it.,Wait a minute and call out loud for the cashier.,1,30,0,6.1,10.233333333333333,AdKOvL7Q
203,You could call and explain the situation and see if you could potentially reschedule the job interview.,"You could wait a few minutes to see if the cashier returns, and if not, then you could put down your item and go to a different store to do your business. ",0,30,0,16.0,26.65,qqXohygZ
204,just go to sleep and take rest,to eat more,2,30,3,5.1,8.5,oxXHZy2h
205,Call in to reschedule as you have a sickness and don't want to get the interviewer sick.,Wait for the cashier.  Find a bell or whatever.,0,30,4,13.066666666666666,27.75,yCHNp1SD
206,I would call the potential employer and try to reschedule the interview.,I would walk the store to see if I could find the cashier.,0,30,2,8.033333333333333,27.633333333333333,vOSRmDpK
207,I would take all the medicine I can to feel better quickly and be able to attend the interview.,I would leave the price of the item at the checkout with a note and leave the shop with the item,0,30,1,12.283333333333333,26.733333333333334,8Fvgb9jl
208,I would take some medicine a hot shower and try to sleep the fever off until time for the interview.,I would say hello in a loud voice so I could be heard in the store. ,2,30,0,11.3,56.983333333333334,J6KK8mVp
209,I could take a fever reducing medication and go to the job interview as planned.,I could leave a note and the appropriate amount of money with it for the clerk.,0,30,0,6.45,13.516666666666667,HYOfFQnN
210,Drink a lot of water.,Put the item back and leave.,1,30,1,8.716666666666667,42.3,3v3bE8jv
211,"Call and ask if you should reschedule the interview, take some medicine, and stay home.",You need to make some noise to find the cashier - don't take the merchandise and leave,1,30,1,19.05,35.93333333333333,O6kjKgbS
212,Reschedule interview,Get their attention,3,30,1,3.933333333333333,32.5,WlKYR2dP
213,"You could take some cold medicine to reduce your fever.  You could also drink some water to try to get something into your system.   Then, go to your interview.","Wait at the register for a few minutes, but if no one comes along you could walk around the store looking for any employee to help you.",0,30,0,6.366666666666666,11.283333333333333,MtIvkjbC
214,I would take some cold medicine and go to the job interview.,Leave the money for the item on the counter,0,30,0,8.083333333333334,14.416666666666666,omhpYzvw
215,Take some pills to lower my fever and go to the job interview.,Leave and look for another store.,0,30,2,10.9,22.5,Mg6muuFj
216,I could call the place where my interview is scheduled and inform them that I am sick and need to reschedule my interview.,"I could see if there was a service bell to ring and if so, I would hit the bell to notify them that I am waiting to checkout.",0,30,0,12.033333333333333,25.15,1TXFgBI8
217,Reschedule the job interview.,Go to customer service.,1,30,0,7.983333333333333,31.166666666666668,WK6FoEf7
218,I could call the hiring manager and tell them that I am very sick and ask to reschedule the interview.,You could leave and go to a differnt store to buy the item you need.,0,30,0,7.166666666666667,17.033333333333335,cvgHslqH
219,Reschedule the interview. ,Leave without the item.,1,30,2,5.6,16.75,e77HY8oK
220,Reschedule the interview,Come back later.,0,30,0,18.85,37.78333333333333,8RU3nE0z
221,Go to the doctor before the interview to confirm my ailment.,I walk hurriedly around the store in search of someone.,0,30,0,17.616666666666667,41.233333333333334,yfb03Jcw
222,I would immediately contact the hiring manager and let them know your condition.,I would leave a note and the money and get the item.,2,30,1,8.216666666666667,13.15,MhtOLph6
223,I will take the medicine,waiting,4,30,9,8.95,39.8,bvuWqpDX
224,"load up on dayquil, drink a redbull and grab some afrin, because I need this job.",call out to the store for the cashier to come take care of me.,0,30,1,8.916666666666666,37.333333333333336,UC7YYLVC
225,"I could take some appropriate medication, then continue with the interview.",I could leave the money that is owed for the item on the counter and leave.,1,30,0,19.433333333333334,33.21666666666667,NsntFTCj
226,"I could take cold and flu medication, being careful to avoid drowsiness, and continue with the interview as best I can.","I could wait for a moment to briefly look for the cashier. If the hurry is very pressing, then after a short time, I might find a way to function without the item or find another store which carries it.",1,30,0,14.233333333333333,23.933333333333334,EDtktLDe
227,I would take a medicine,I will drop the itam and leave.,6,30,4,15.566666666666666,31.466666666666665,gZKUka7A
228,reschedule the interview,find the cashier,0,30,0,5.766666666666667,30.45,0RciEixE
229,Call in to work sick then call the doctor.,Ask for help checking out.,0,30,1,12.1,25.5,qEMhS41Z
230,I would call to reschedule the job interview or ask if the interview can be conducted online.  ,I would leave the cash for the price of the item and write a note to the cashier. ,2,30,0,8.183333333333334,21.816666666666666,TjBe0Ytp
231,Go to the nearest hospital.,Return back the item I took.,0,30,2,22.883333333333333,40.516666666666666,2l9rp9wj
232,Suck it up and go to the interview anyways,wait for a cashier to show up or call on one,0,30,0,5.116666666666666,30.633333333333333,FQ9V91eN
233,Take non-drowsy cold medication and vitamin C. ,Yell out to someone. ,1,30,0,6.5,13.133333333333333,FXCVfGjH
234,I think you should call and tell them you fell ill and need to reschedule.,You yell out for some help.,0,30,0,5.666666666666667,9.05,XGNOWnJx
235,Take some DayQuil and drink some tea and do the interview,Look for cashier if I can’t find one leave,0,30,0,9.383333333333333,17.216666666666665,wBooCZww
236,"I prepare myself with a hot shower, good breakfast and medicine, make myself presentable and push myself through the interview with confidence.","I ask the nearest associate for help, either with checking out to purchase my item, or with finding a cashier.",0,30,0,8.45,21.816666666666666,IcJPoFtL
237,,,2,30,2,6.4,45.2,GSLoiTXE
238,Postpone the interview,Choose the alternative store,2,30,2,5.05,55.333333333333336,TWUw7w1D
239,"Try your best to get out of bed and go, if you are sick that means you can go to the doctors after ",Look for another employee or call the store to get their attention. You could leave the product and go elsewhere ,0,30,0,8.466666666666667,14.616666666666667,cH7byY5G
240,I will send a message to the interview panel stating I need to take care of my health,I will leave to save my time,2,30,1,10.733333333333333,35.0,GqyTaUqS
241,I would notify the interviewers that I was ill and unable to interview.,I find someone to help me pay for the item.,0,30,0,4.9,9.083333333333334,7ZTRv7W1
242,"I take some cold medicine, have a shower, put on some make-up, drink coffee, put on a brave face and go to the interview.",I look around for an employee to flag down who can ring me up or look for a self-checkout. If desperate and cannot find help I would leave the exact amount owed on the register with a note. ,2,30,3,14.083333333333334,23.116666666666667,3ZnVe88s
243,I would take a medicine,leave my payment and go,6,30,0,5.1,11.6,sPtBaeT4
244,Call and see if you can reschedule the interview for another day.,Leave the items and leave the story without a purchase. ,0,30,1,7.066666666666666,13.066666666666666,FKibMthV
245,Take some Tylenol and see if I'm feeling better soon; otherwise reschedule the interview.,"Search the store for the cashier, and if I cannot find one, leave the store without the purchase.",0,30,0,5.116666666666666,43.333333333333336,i9Yvrral
246,"I would call the company, tell them I am sick and ask if they can reschedule another date for my job interview.",I will go to the store manager's room and ask for help.,0,30,0,15.883333333333333,N/A,RYPaQ9hf
247,I could call the interviewer and tell him that I have gotten sick. Would they like to conduct an interview today over the phone and schedule a follow up in person interview at a later date?,I can seek out a store employee and ask for a cashier.,0,30,1,6.683333333333334,14.833333333333334,uQuyrdbj
248,"Take medicine for a fever, cover any sickly look and tough it out. ","Wait, call for assistance and worst case scenario, since I was a cashier, ring it out myself. ",3,30,1,8.683333333333334,18.35,ngwlTVTW
249,One course I could take would be to take some fever reducer and fake being well until after the interview. I couldn't risk a job over being sick.,I would leave the money on the counter for the item with a note explaining what I got and the enough to cover taxes and tell them that they need to mind the store.,0,30,0,14.7,36.75,9bvLEpaf
250,Cancel the job interview.,"Wait for the cashier, should only be a few minutes before the cashier returns. After a few minutes and the cashier has not returned, them leave.",0,30,3,21.666666666666668,39.36666666666667,hC2And9J
251,get up and assess if i am able to still attend; ponder possible reschedule,wait patiently,1,30,2,7.7,15.8,NsC1gIQy
252,"Take some cold medicine, see if I feel better.","Just leave, leave the item and go somewhere else.",1,30,0,8.616666666666667,33.0,nsZk0Csg
253,"I would make sure I was not sick and if I were, I would contact the interview, explain the situation, then ask for another day to interview.  ",Put the item back after minute of waiting and exit the building without purchasing. ,1,30,1,10.633333333333333,18.416666666666668,EvBDWuAA
254,"I would call the potential employer, explain the situation and ask to reschedule",I would leave the money for the item next to the cash register and leave,0,30,1,10.483333333333333,17.066666666666666,rXmt0Xmr
255,take medicine and caffeine before interview,,3,30,3,10.35,15.85,fOOeNv2Q
256,go to a doctor,leave more than enough money on the counter with a note,0,30,0,6.033333333333333,13.283333333333333,A5E4ZPJQ
257,Call and ask to reschedule the interview.,Ring the bell at the counter to summon the clerk.,0,30,1,8.1,22.75,NMmw2lKw
258,Call the potential job and ask them to reschedule.,Put the item back and go to another nearby store for it.,0,30,0,4.75,8.65,ypYQGBqY
259,"I could call the people giving the interview, tell them I am ill, and ask to reschedule.","I could ring the bell on the counter, or loudly say, ""Hello?"".",1,30,0,10.45,33.85,ePxTRjte
260,Reschedule the interview,Yell for a cashier ,3,30,1,7.666666666666667,13.283333333333333,PEdPlwmF
261,"I would try and reschedule the interview, but if I could not, dose myself with medication and try to make it anyhow. ",Leave money on the counter and walk out with the item. ,0,30,0,7.333333333333333,12.933333333333334,ekrGEDmv
262,I'll call to reschedule the interview,"I'll leave the exact amount on the counter if I have cash, else I'll leave the item and find the nearest store",0,30,1,21.166666666666668,45.06666666666667,zokN7Ne2
263,Still go to the interview and hope that it is short ,I would leave and go to another store ,4,30,0,4.316666666666666,7.616666666666666,OjBPPNjC
264,take aspirin or cold remedy and keep the interview,"look for a bell, buzzer or yell out, ""anybody here?""",0,30,0,7.233333333333333,12.883333333333333,0Xp9yMo0
265,Take DayQuil  and suck it up,Quick look if can't be found leave and go to another store.,1,30,2,12.35,42.233333333333334,DEPdjqVT
266,take a cold shower and tylenol,wait for the cashier or leave empty handed,0,30,1,11.283333333333333,21.733333333333334,av32Q1tD
267,I could call and tell them I am sick and need to reschedule the job interview.,I could leave my money on the counter for the cashier to find with a note.,0,30,0,12.816666666666666,26.05,Oqvq32KT
268,Call and tell them I'm sick and ask if I can reschedule.,I would wait until the cashier got back to check out.,0,30,0,10.333333333333334,41.916666666666664,aCtZM7H7
269,"Unfortunately,  call the potential employer and explain that you have a fever.  It would be appropriate to ask if they would like you to attend or reschedule. ",I would walk until I found someone to help me check out. ,0,30,1,28.3,58.666666666666664,0ZjAFmDL
270,Take as much non-drowsy medicine as possible and attempt to tough it out so that the interview can be done.,Go put the item back and leave without it.,0,30,2,7.666666666666667,15.366666666666667,wGLojikQ
271,Tough it out and make the interview.,Leave the item and come back later.,0,30,1,12.866666666666667,30.933333333333334,EjAzA4we
272,You could call in to the interviewers and explain the situation and ask to reschedule,Put the item away and try a different store,0,30,0,5.083333333333333,22.816666666666666,XVgcitre
273,call them and reschedule,"shout out for the cashier. if not, leave a note with the money.",0,30,0,6.783333333333333,11.65,GaE23ZWa
274,some time,whiting,1,30,0,13.65,38.03333333333333,Zw2rEpVd
275,take medicine and go,leave cash on the table,1,30,0,8.433333333333334,20.833333333333332,ywRfnkvG
276,I should probably try to explain my symptoms and reschedule the interview.,Try to call out verbally for the cashier.,0,30,0,25.716666666666665,44.666666666666664,SFBb1tGj
277,Call the interviewer and try to reschedule.,"Look for self-checkout lanes, or walk around the store to find another associate.",0,30,0,7.383333333333334,14.766666666666667,P4jFyMjk
278,Call the interviewer and see if you can reschedule,Leave a note by the register describing what you bought with enough cash to cover it,0,30,0,8.25,53.333333333333336,XsbnzPmG
279,STILL GO TO THE INTERVIEW,YOU HOLLAR ANYONE HERE,1,30,1,8.75,30.716666666666665,GhCaq6sR
280,Sometimes ,"powered by computer vision, sensors and deep learning, is a teaser for the future of physical retail",2,30,6,9.3,30.333333333333332,EN1rPfEV
281,,,3,30,5,10.966666666666667,24.8,w5k2F4Fr
282,Call and re-schedule the interview,Yell for assistance,0,30,0,6.116666666666666,58.15,5Mq9o7aU
283,"Man up, take some morphine, and go to the interview. ",Wait for the cashier like an upstanding citizen. ,0,30,0,7.066666666666666,11.6,Sx0VvP9q
284,i will take some medicine and attend the interview,i will raise my voice the shop cashier,3,30,6,11.65,50.833333333333336,qG9mRSnA
285,I FOUCUS TO THE GAME,I TRANK THE LINE CHANGE TO GREY ,3,30,0,13.466666666666667,41.2,DbShXOuI
286,i track the line into change gray color,i track the line,2,30,0,7.75,21.066666666666666,8PfWstvb
287,very sad,very sad,3,30,1,5.333333333333333,25.016666666666666,oy7zGEku
